from,to,relationship,time,,
Namika,LGN,,6,,
Namika,JoseCarreras,,5,,
Namika,Arche,,5,,
Namika,SOSKinderdorf,,5,,
Namika,VCA,,5,,
Trettmann,LGN,,6,,
Trettmann,Entwicklungsgesellschaft,,6,,
Trettmann,ProAsyl,,6,,
KoolSavas,LGN,,6,,
KoolSavas,VCA,,2,,
KoolSavas,PETA,,1,,
KoolSavas,LandeskriminalamtBW,,1,,
KoolSavas,TelefonicaStiftung,,3,,
KoolSavas,VFC,,4,,
KoolSavas,Sonnenblume,,4,,
KoolSavas,PFI,,1,,
MissPlatnum,LGN,,6,,
MissPlatnum,ProAsyl,,5,,
MissPlatnum,DeutschesKinderhilfswerk,,5,,
MissPlatnum,PPE,,5,,
Smudo,LGN,,6,,
Smudo,TilSchweiger,,5,,
Smudo,PPE,,5,,
Smudo,PETA,,2,,
MatthiasKilling,LGN,,6,,
MatthiasKilling,KinderhospizRegenbogenland,,3,,
MatthiasKilling,UNICEF,,3,,
MatthiasKilling,RHH,,3,,
MatthiasKilling,SOSKinderdorf,,5,,
Sido,IMC,,5,,
Sido,BPB,,3,,
Sido,LGN,,6,,
Sido,UNICEF,,6,,
VisaVie,RBS,,4,,
VisaVie,LGN,,6,,
VisaVie,FWB,,6,,
VisaVie,SOSM,,6,,
VisaVie,VFC,,5,,
VisaVie,UC,,5,,
FrederickLau,LGN,,6,,
FrederickLau,VCA,,6,,
Nura,LGN,,6,,
Nura,Entwicklungsgesellschaft,,6,,
Namika,Herzenssache,,5,,
Namika,WR,,5,,
DJChino,LGN,,6,,
DJChino,CSD,,1,,
DJChino,Afrikarise,,2,,
DJChino,SHL,,5,,
DJChino,One,,4,,
DJChino,Bertelsmann,,5,,
DJChino,Klinikclowns,,NA,,
DJChino,FT,,5,,
DJChino,Arche,,5,,
DJChino,Kindernothilfe,,2,,
Mateo,LGN,,6,,
Mateo,CSD,,1,,
Mateo,Afrikarise,,2,,
Mateo,One,,4,,
Mateo,Bertelsmann,,5,,
Mateo,Klinikclowns,,NA,,
Mateo,SHL,,5,,
Mateo,FT,,5,,
Mateo,Arche,,5,,
Mateo,Kindernothilfe,,2,,
DonCali,LGN,,6,,
DonCali,CSD,,1,,
DonCali,FT,,5,,
DonCali,Afrikarise,,2,,
DonCali,One,,4,,
DonCali,Bertelsmann,,5,,
DonCali,Klinikclowns,,NA,,
DonCali,Arche,,5,,
DonCali,SHL,,5,,
DonCali,Kindernothilfe,,2,,
JoshikoSaibou,LGN,,6,,
JoshikoSaibou,SKOA,,6,,
OliverHarris,LGN,,6,,
OliverHarris,DKMS,,6,,
OliverHarris,RTR,,5,,
Elisa,LGN,,6,,
SalwaBenz,LGN,,6,,
AntjeSchomaker,LGN,,6,,
BRKN,Unteilbar,,6,,
BRKN,LGN,,6,,
AlexandraWester,DRK,,5,,
AlexandraWester,LGN,,6,,
JanSosniok,LGN,,6,,
DanJuergen,LGN,,6,,
Olson,AKA,,5,,
Olson,LGN,,6,,
Andhim,LGN,,6,,
Andhim,AAS,,5,,
Andhim,Opferfonds,,5,,1= 2000-2005
SimonBus,Caritas,,5,,2= 2006-2008
SimonBus,LGN,,6,,3= 2009-2011
Fruchtmax,LGN,,6,,4= 2012-2014
Fruchtmax,Arche,,4,,5=2015-2017
ILIRA,LGN,,6,,6=2018-2019
Romee,LGN,,6,,
Romee,Lebenshilfe,,4,,
Romee,KJF,,4,,
