ID ,name,type,sex ,art,art2,art3,nationalität,migration,engagement,engagement2,follower,alter,Projekt
Smudo,Smudo,1,1,1,NA,NA,1,2,NA,NA,5,4,2
Gleis,Gleis 8,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2
LeslieClio,Leslie Clio,1,2,1,NA,NA,1,2,NA,NA,2,3,2
EnnoBunger,Enno Bunger,1,1,1,NA,NA,1,2,NA,NA,1,3,2
KhebezDawle,KhebezDawle,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2
VanDeForst,Van de Forst,1,2,1,NA,NA,1,2,NA,NA,1,2,2
RonjaMaltzahn,Ronja Maltzahn,1,2,1,NA,NA,1,2,NA,NA,1,2,2
FourColours,Four Colours,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2
MattenZwei,MattenZwei,1,1,1,NA,NA,1,2,NA,NA,1,NA,2
UweKaa,Uwe Kaa,1,1,1,NA,NA,1,2,NA,NA,1,4,2
BandaInternationale,Banda Internationale,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2
NewSway,New Sway,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2
Pohlmann,Pohlmann,1,1,1,NA,NA,1,2,NA,NA,1,4,2
MalEleve,Mal Élevé,1,1,1,NA,NA,1,1,NA,NA,1,3,2
LGN,Laut gegen Nazis,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2
PPE,P x P Embassy e.V. ,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2
TilSchweiger,Til Schweiger Foundation,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2
PETA,PETA Deutschland e.V.,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2
SOSM,SOS Mediterranee Deutschland e.V.,2,NA,NA,NA,NA,NA,NA,8,5,NA,NA,2
MMM,Mensch Mensch Mensch e.V.,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2
Voice,The VOICE Refugee Forum,2,NA,NA,NA,NA,NA,NA,8,5,NA,NA,2
KMII,Kein Mensch ist illegal,2,NA,NA,NA,NA,NA,NA,8,5,NA,NA,2
SW,Sea-Watch e.V.,2,NA,NA,NA,NA,NA,NA,8,5,NA,NA,2
Unteilbar,Unteilbar,2,NA,NA,NA,NA,NA,NA,8,5,NA,NA,2
ProAsyl,Pro Asyl,2,NA,NA,NA,NA,NA,NA,8,5,NA,NA,2
SS,Sea Shepherd Deutschland e.V,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2
Myclimate,myclimate Deutschland gGmbH,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2
JG,Jane Goodall Institut – Deutschland e.V.,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2
UD,dieUmweltDruckerei GmbH,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2
DMS,Deutsche Meeresstiftung,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2
VCA,Viva con Agua de Sankt Pauli e.V,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2
RFA,Rollis für Afrika e.V.,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2
Respekt,Gemeinnützige Respekt! Kein Platz für Rassismus GmbH,2,NA,NA,NA,NA,NA,NA,8,5,NA,NA,2
DGVN,Deutsche Gesellschaft für die Vereinten Nationen e.V.,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2
SG,Straßengezwitscher e.V.,2,NA,NA,NA,NA,NA,NA,5,8,NA,NA,2
FFK,Förderverein für Knochenmarktransplantation,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2
DKMS,DKMS gemeinnützige GmbH,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2
AAS,Amadeu Antonio Stiftung,2,NA,NA,NA,NA,NA,NA,5,8,NA,NA,2
CMA,Civil March for Aleppo,2,NA,NA,NA,NA,NA,NA,5,8,NA,NA,2
DSF,Daseinsfreunde,2,NA,NA,NA,NA,NA,NA,5,8,NA,NA,2
PG,Parieté Gala,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2
HKH,Haiti Kinder Hilfe e.V.,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2
Krebsberatung,Krebsberatungsstelle Münster,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2
Friedensmusik,Friedensmusik,2,NA,NA,NA,NA,NA,NA,5,8,NA,NA,2
SH,Social Heartbeat,2,NA,NA,NA,NA,NA,NA,5,8,NA,NA,2
INBP,Inklusives Netzwerk Bad Pyrmont e.V.,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2
Friedensdorf,Aktion Friedensdorf e.V.,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2
MSN,Make Some Noise,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2
TDF,Terre des Femmes – Menschenrechte für die Frau e.V.,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2
DRK,Deutsches Rotes Kreuz e.V.,2,NA,NA,NA,NA,NA,NA,6,8,NA,NA,2
BZGA,Bundeszentrale für gesundheitliche Aufklärung,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2
CI,Cultures Interactive e.V.,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2
MBS,Musik bewegt Stiftung,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2
Vangardist,Vangardist Media GmbH,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2
Ramstein,Aktionsbüro Ramstein-Kampagne Berlin,2,NA,NA,NA,NA,NA,NA,8,5,NA,NA,2
GP,Greenpeace e.V.,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2
GV,GoVolunteer e.V.,2,NA,NA,NA,NA,NA,NA,8,5,NA,NA,2
TPOTH,The Power of the Hearts,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2
BGH,Brass gegen Hass,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2
Entwicklungsgesellschaft,Chemnitzer Wirtschaftsförderungs- und Entwicklungsgesellschaft mbH,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1
