ID,name,type,sex,art,art2,art3,nationalität,migration,engagement,engagement2,follower,alter,Projekt
AAS,Amadeu Antonio Stiftung,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1
Afrikarise,Afrika Rise e.V.,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1
AKA,Förderkreis AK Asyl e.V.,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1
AlexandraWester,Alexandra Wester,1,2,3,NA,NA,2,1,NA,NA,4,2,1
Andhim,Andhim,1,1,1,NA,NA,1,2,NA,NA,4,5,1
AntjeSchomaker,Antje Schomaker,1,2,1,NA,NA,1,2,NA,NA,2,2,1
Arche,Die Arche Christliches Kinder-und Jugendwerk e.V.,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
BandaInternationale,Banda Internationale,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2
Bertelsmann,Bertelsmann Stiftung,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
BGH,Brass gegen Hass,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2
BPB,Bundeszentrale für politische Bildung,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1
BRKN,BRKN,1,1,1,NA,NA,1,1,NA,NA,2,2,1
BZGA,Bundeszentrale für gesundheitliche Aufklärung,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2
Caritas,Deutscher Caritasverband e. V.,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1
CI,Cultures Interactive e.V.,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2
CMA,Civil March for Aleppo,2,NA,NA,NA,NA,NA,NA,5,8,NA,NA,2
CSD,Berliner CSD e.V.,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1
DanJuergen,Dan Jürgen,1,1,5,NA,NA,1,2,NA,NA,5,2,1
DeutschesKinderhilfswerk,Deutsches Kinderhilfswerk e.V. (Bildungspaket für Flüchtlingskinder),2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
DGVN,Deutsche Gesellschaft für die Vereinten Nationen e.V.,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2
DJChino,DJ Chino,1,1,1,NA,NA,1,1,NA,NA,1,3,1
DKMS,DKMS gemeinnützige GmbH,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1
DMS,Deutsche Meeresstiftung,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2
DonCali,Don Cali,1,1,1,NA,NA,2,1,NA,NA,1,NA,1
DRK,Deutsches Rotes Kreuz e.V.,2,NA,NA,NA,NA,NA,NA,6,8,NA,NA,1
DSF,Daseinsfreunde,2,NA,NA,NA,NA,NA,NA,5,8,NA,NA,2
Elisa,Elisa,1,2,5,NA,NA,1,2,NA,NA,4,2,1
EnnoBunger,Enno Bunger,1,1,1,NA,NA,1,2,NA,NA,1,3,2
Entwicklungsgesellschaft,Chemnitzer Wirtschaftsförderungs- und Entwicklungsgesellschaft mbH,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1
FFK,Förderverein für Knochenmarktransplantation,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2
FourColours,Four Colours,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2
FrederickLau,Frederick Lau,1,1,2,NA,NA,1,2,NA,NA,4,2,1
Friedensdorf,Aktion Friedensdorf e.V.,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2
Friedensmusik,Friedensmusik,2,NA,NA,NA,NA,NA,NA,5,8,NA,NA,2
Fruchtmax,Fruchtmax,1,1,1,NA,NA,1,2,NA,NA,2,NA,1
FT,Förderturm Ideen für Essener Kinder e.V.,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
FWB,Friends with benefits,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1
Gleis,Gleis 8,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2
GP,Greenpeace e.V.,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2
GV,GoVolunteer e.V.,2,NA,NA,NA,NA,NA,NA,8,5,NA,NA,2
Herzenssache,Herzenssache e.V.,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
HKH,Haiti Kinder Hilfe e.V.,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2
ILIRA,ILIRA,1,2,1,NA,NA,2,1,NA,NA,2,2,1
IMC,International Media Corps,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1
INBP,Inklusives Netzwerk Bad Pyrmont e.V.,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2
JanSosniok,Jan Sosniok,1,1,2,6,NA,1,2,NA,NA,1,4,1
JG,Jane Goodall Institut – Deutschland e.V.,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2
JoseCarreras,José Carreras Leukämie Stiftung,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1
JoshikoSaibou,Joshiko Saibou,1,1,3,NA,NA,1,1,NA,NA,1,2,1
KhebezDawle,KhebezDawle,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2
KinderhospizRegenbogenland,Förderverein Kinder- und Jugendhospiz Düsseldorf e.V.,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
Kindernothilfe,Kindernothilfe,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
KJF,Katholische Jugendfürsorge der Diözese Regensburg e.V.,2,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,
Klinikclowns,Potsdamer Klinikclowns e.V.,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1
KMII,Kein Mensch ist illegal,2,NA,NA,NA,NA,NA,NA,8,5,NA,NA,2
KoolSavas,KoolSavas,1,1,1,NA,NA,1,1,NA,NA,8,4,1
Krebsberatung,Krebsberatungsstelle Münster,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2
LandeskriminalamtBW,Landeskriminalamt Baden- Würtemberg,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1
Lebenshilfe,Bundesvereinigung Lebenshilfe e.V.,2,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,
LeslieClio,Leslie Clio,1,2,1,NA,NA,1,2,NA,NA,2,3,2
LGN,Laut gegen Nazis,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1
MalEleve,Mal Élevé,1,1,1,NA,NA,1,1,NA,NA,1,3,2
Mateo,Mateo Jasik,1,1,1,NA,NA,1,1,NA,NA,2,3,1
MattenZwei,MattenZwei,1,1,1,NA,NA,1,2,NA,NA,1,NA,2
MatthiasKilling,Matthias Killing,1,1,4,NA,NA,1,2,NA,NA,4,3,1
MBS,Musik bewegt Stiftung,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2
MissPlatnum,Miss Platnum,1,2,1,NA,NA,2,1,NA,NA,2,3,1
MMM,Mensch Mensch Mensch e.V.,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2
MSN,Make Some Noise,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2
Myclimate,myclimate Deutschland gGmbH,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2
Namika,Namika,1,2,1,NA,NA,1,1,NA,NA,5,2,1
NewSway,New Sway,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2
Nura,Nura,1,1,1,NA,NA,2,1,NA,NA,9,2,1
OliverHarris,Oliver Harris,1,1,6,NA,NA,1,1,NA,NA,2,4,1
Olson,Olson,1,1,1,NA,NA,1,2,NA,NA,3,3,1
One,The ONE Campaign,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1
Opferfonds,Opferfonds CURA,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1
PETA,PETA Deutschland e.V.,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1
PFI,PFIF - Partner für Innovation & Förderung GmbH & Co. KG (Du bist Deutschland- Kampagne),2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1
PG,Parieté Gala,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,2
Pohlmann,Pohlmann,1,1,1,NA,NA,1,2,NA,NA,1,4,2
PPE,P x P Embassy e.V. (PXP Festival (Kinder)),2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
ProAsyl,Pro Asyl,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,1
Ramstein,Aktionsbüro Ramstein-Kampagne Berlin,2,NA,NA,NA,NA,NA,NA,8,5,NA,NA,2
RBS,Robert Bosch Stiftung,2,NA,NA,NA,NA,NA,NA,2,1,NA,NA,1
Respekt,Gemeinnützige Respekt! Kein Platz für Rassismus GmbH,2,NA,NA,NA,NA,NA,NA,8,5,NA,NA,2
RFA,Rollis für Afrika e.V.,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2
RHH,Sat1 - Ran hilft Haiti,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1
Romee,Romee,1,1,1,3,NA,1,1,NA,NA,4,2,1
RonjaMaltzahn,Ronja Maltzahn,1,2,1,NA,NA,1,2,NA,NA,1,2,2
RTR,Race to Raise,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1
SalwaBenz,Salwa Benz,1,2,4,5,NA,1,1,NA,NA,2,2,1
SG,Straßengezwitscher e.V.,2,NA,NA,NA,NA,NA,NA,5,8,NA,NA,2
SH,Social Heartbeat,2,NA,NA,NA,NA,NA,NA,5,8,NA,NA,2
SHL,Schüler Helfen Leben e.V.,2,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1
Sido,Sido,1,1,1,NA,NA,1,1,NA,NA,9,3,1
SimonBus,Simon Bus,1,1,4,NA,NA,1,2,NA,NA,10,NA,1
SKOA,Smiling Kids of Africa,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
Smudo,Smudo,1,1,1,NA,NA,1,2,NA,NA,5,4,1
Sonnenblume,Sonnenblume e.V.,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
SOSKinderdorf,SOS-Kinderdorf e.V.,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1
