ID,name,type,sex,art,art2,art3,nationalität,migration,engagement,engagement2,follower,alter,Projekt,Management
AAS,Amadeu Antonio Stiftung,2,99,99,99,99,99,99,8,99,99,99,1,99
Abury ,ABURY Foundation gemeinnützige GmbH,2,99,99,99,99,99,99,2,99,99,99,1,99
Afrikarise,Afrika Rise e.V.,2,99,99,99,99,99,99,8,99,99,99,1,99
AKA,Förderkreis AK Asyl e.V.,2,99,99,99,99,99,99,8,99,99,99,1,99
AlexandraWester,Alexandra Wester,1,2,3,99,99,2,1,99,99,4,2,1,24
Andhim,Andhim,1,1,1,99,99,1,2,99,99,4,5,1,26
AntjeSchomaker,Antje Schomaker,1,2,1,99,99,1,2,99,99,2,2,1,18
Arche,Die Arche Christliches Kinder-und Jugendwerk e.V.,2,99,99,99,99,99,99,2,99,99,99,1,99
BandaInternationale,Banda Internationale,1,99,1,99,99,99,3,99,99,1,99,2,99
Bertelsmann,Bertelsmann Stiftung,2,99,99,99,99,99,99,2,99,99,99,1,99
BGH,Brass gegen Hass,2,99,99,99,99,99,99,1,99,99,99,2,99
BPB,Bundeszentrale für politische Bildung,2,99,99,99,99,99,99,5,99,99,99,1,99
BRKN,BRKN,1,1,1,99,99,1,1,99,99,2,2,1,21
BZGA,Bundeszentrale für gesundheitliche Aufklärung,2,99,99,99,99,99,99,6,99,99,99,2,99
Caritas,Deutscher Caritasverband e. V.,2,99,99,99,99,99,99,8,99,99,99,1,99
CI,Cultures Interactive e.V.,2,99,99,99,99,99,99,2,99,99,99,2,99
CMA,Civil March for Aleppo,2,99,99,99,99,99,99,5,8,99,99,2,99
CSD,Berliner CSD e.V.,2,99,99,99,99,99,99,8,99,99,99,1,99
DanJuergen,Dan Jürgen,1,1,5,99,99,1,2,99,99,5,2,1,99
DeutschesKinderhilfswerk,Deutsches Kinderhilfswerk e.V. (Bildungspaket für Flüchtlingskinder),2,99,99,99,99,99,99,2,99,99,99,1,99
DGVN,Deutsche Gesellschaft für die Vereinten Nationen e.V.,2,99,99,99,99,99,99,2,99,99,99,2,99
DJChino,DJ Chino,1,1,1,99,99,1,1,99,99,1,3,1,1
DKMS,DKMS gemeinnützige GmbH,2,99,99,99,99,99,99,6,99,99,99,1,99
DMS,Deutsche Meeresstiftung,2,99,99,99,99,99,99,4,99,99,99,2,99
DonCali,Don Cali,1,1,1,99,99,2,1,99,99,1,99,1,23
DRK,Deutsches Rotes Kreuz e.V.,2,99,99,99,99,99,99,6,8,99,99,1,99
DSF,Daseinsfreunde,2,99,99,99,99,99,99,5,8,99,99,2,99
Elisa,Elisa,1,2,5,99,99,1,2,99,99,4,2,1,99
EnnoBunger,Enno Bunger,1,1,1,99,99,1,2,99,99,1,3,2,7
Entwicklungsgesellschaft,Chemnitzer Wirtschaftsförderungs- und Entwicklungsgesellschaft mbH,2,99,99,99,99,99,99,5,99,99,99,1,99
FFK,Förderverein für Knochenmarktransplantation,2,99,99,99,99,99,99,6,99,99,99,2,99
FourColours,Four Colours,1,99,1,99,99,99,99,99,99,99,99,2,9
FrederickLau,Frederick Lau,1,1,2,99,99,1,2,99,99,4,2,1,15
Friedensdorf,Aktion Friedensdorf e.V.,2,99,99,99,99,99,99,2,99,99,99,2,99
Friedensmusik,Friedensmusik,2,99,99,99,99,99,99,5,8,99,99,2,99
Fruchtmax,Fruchtmax,1,1,1,99,99,1,2,99,99,2,99,1,29
FT,Förderturm Ideen für Essener Kinder e.V.,2,99,99,99,99,99,99,2,99,99,99,1,99
FWB,Friends with benefits,2,99,99,99,99,99,99,8,99,99,99,1,99
Gleis,Gleis 8,1,99,1,99,99,99,3,99,99,99,99,2,99
GP,Greenpeace e.V.,2,99,99,99,99,99,99,4,99,99,99,2,99
GV,GoVolunteer e.V.,2,99,99,99,99,99,99,8,5,99,99,2,99
Herzenssache,Herzenssache e.V.,2,99,99,99,99,99,99,2,99,99,99,1,99
HKH,Haiti Kinder Hilfe e.V.,2,99,99,99,99,99,99,2,99,99,99,2,99
ILIRA,ILIRA,1,2,1,99,99,2,1,99,99,2,2,1,2
IMC,International Media Corps,2,99,99,99,99,99,99,6,99,99,99,1,99
INBP,Inklusives Netzwerk Bad Pyrmont e.V.,2,99,99,99,99,99,99,8,99,99,99,2,99
JanSosniok,Jan Sosniok,1,1,2,6,99,1,2,99,99,1,4,1,22
JG,Jane Goodall Institut – Deutschland e.V.,2,99,99,99,99,99,99,4,99,99,99,2,99
JoseCarreras,José Carreras Leukämie Stiftung,2,99,99,99,99,99,99,6,99,99,99,1,
JoshikoSaibou,Joshiko Saibou,1,1,3,99,99,1,1,99,99,1,2,1,28
KhebezDawle,KhebezDawle,1,99,1,99,99,99,3,99,99,99,99,2,8
KinderhospizRegenbogenland,Förderverein Kinder- und Jugendhospiz Düsseldorf e.V.,2,99,99,99,99,99,99,2,99,99,99,1,99
Kindernothilfe,Kindernothilfe,2,99,99,99,99,99,99,2,99,99,99,1,99
KJF,Katholische Jugendfürsorge der Diözese Regensburg e.V.,2,99,99,99,99,99,99,7,99,99,99,,99
Klinikclowns,Potsdamer Klinikclowns e.V.,2,99,99,99,99,99,99,6,99,99,99,1,99
KMII,Kein Mensch ist illegal,2,99,99,99,99,99,99,8,5,99,99,2,99
KoolSavas,KoolSavas,1,1,1,99,99,1,1,99,99,8,4,1,1
Krebsberatung,Krebsberatungsstelle Münster,2,99,99,99,99,99,99,6,99,99,99,2,99
LandeskriminalamtBW,Landeskriminalamt Baden- Würtemberg,2,99,99,99,99,99,99,8,99,99,99,1,99
Lebenshilfe,Bundesvereinigung Lebenshilfe e.V.,2,99,99,99,99,99,99,7,99,99,99,,99
LeslieClio,Leslie Clio,1,2,1,99,99,1,2,99,99,2,3,2,6
LGN,Laut gegen Nazis,2,99,99,99,99,99,99,5,99,99,99,1,99
MalEleve,Mal Élevé,1,1,1,99,99,1,1,99,99,1,3,2,12
Mateo,Mateo Jasik,1,1,1,99,99,1,1,99,99,2,3,1,1
MattenZwei,MattenZwei,1,1,1,99,99,1,2,99,99,1,99,2,99
MatthiasKilling,Matthias Killing,1,1,4,99,99,1,2,99,99,4,3,1,19
MBS,Musik bewegt Stiftung,2,99,99,99,99,99,99,8,99,99,99,2,99
MissPlatnum,Miss Platnum,1,2,1,99,99,2,1,99,99,2,3,1,20
