ID ,name,type,sex ,art,art2,art3,national,migration,engagement,engagement2,follower,alter,Projekt
Sido,Sido,1,1,1,99,99,1,1,99,99,9,3,1
Trettmann,Trettmann,1,1,1,99,99,1,2,99,99,8,4,1
Namika,Namika,1,2,1,99,99,1,1,99,99,5,2,1
Nura,Nura,1,1,1,99,99,2,1,99,99,9,2,1
FrederickLau,Frederick Lau,1,1,2,99,99,1,2,99,99,4,2,1
VisaVie,Visa Vie,1,2,1,4,2,1,99,99,99,5,3,1
KoolSavas,KoolSavas,1,1,1,99,99,1,1,99,99,8,4,1
Smudo,Smudo,1,1,1,99,99,1,2,99,99,5,4,3
AntjeSchomaker,Antje Schomaker,1,2,1,99,99,1,2,99,99,2,2,1
Mateo,Mateo Jasik,1,1,1,99,99,1,1,99,99,2,3,1
SalwaBenz,Salwa Benz,1,2,4,5,99,1,1,99,99,2,2,1
Elisa,Elisa,1,2,5,99,99,1,2,99,99,4,2,1
DJChino,DJ Chino,1,1,1,99,99,1,1,99,99,1,3,1
MatthiasKilling,Matthias Killing,1,1,4,99,99,1,2,99,99,4,3,1
MissPlatnum,Miss Platnum,1,2,1,99,99,2,1,99,99,2,3,1
BRKN,BRKN,1,1,1,99,99,1,1,99,99,2,2,1
JanSosniok,Jan Sosniok,1,1,2,6,99,1,2,99,99,1,4,1
DonCali,Don Cali,1,1,1,99,99,2,1,99,99,1,99,1
DanJuergen,Dan Jürgen,1,1,5,99,99,1,2,99,99,5,2,1
AlexandraWester,Alexandra Wester,1,2,3,99,99,2,1,99,99,4,2,1
Olson,Olson,1,1,1,99,99,1,2,99,99,3,3,1
Andhim,Andhim,1,1,1,99,99,1,2,99,99,4,5,1
SimonBus,Simon Bus,1,1,4,99,99,1,2,99,99,10,99,1
JoshikoSaibou,Joshiko Saibou,1,1,3,99,99,1,1,99,99,1,2,1
Fruchtmax,Fruchtmax,1,1,1,99,99,1,2,99,99,2,99,1
ILIRA,ILIRA,1,2,1,99,99,2,1,99,99,2,2,1
OliverHarris,Oliver Harris,1,1,6,99,99,1,1,99,99,2,4,1
Romee,Romee,1,1,1,3,99,1,1,99,99,4,2,1
LGN,Laut gegen Nazis,2,99,99,99,99,99,99,5,99,99,99,3
JoseCarreras,José Carreras Leukämie Stiftung,2,99,99,99,99,99,99,6,99,99,99,1
Arche,Die Arche Christliches Kinder-und Jugendwerk e.V.,2,99,99,99,99,99,99,2,99,99,99,1
SOSKinderdorf,SOS-Kinderdorf e.V.,2,99,99,99,99,99,99,2,99,99,99,1
VCA,Viva con Agua de Sankt Pauli e.V,2,99,99,99,99,99,99,8,99,99,99,3
Entwicklungsgesellschaft,Chemnitzer Wirtschaftsförderungs- und Entwicklungsgesellschaft mbH,2,99,99,99,99,99,99,5,99,99,99,1
ProAsyl,Pro Asyl,2,99,99,99,99,99,99,5,99,99,99,3
PETA,PETA Deutschland e.V.,2,99,99,99,99,99,99,4,99,99,99,3
LandeskriminalamtBW, Landeskriminalamt Baden- Würtemberg,2,99,99,99,99,99,99,8,99,99,99,1
