from,to,relationship,time,time2
Namika,LGN,,6,99
Namika,JoseCarreras,,5,99
Namika,Arche,,5,99
Namika,SOSKinderdorf,,5,99
Namika,VCA,,5,99
Trettmann,LGN,,6,99
Trettmann,Entwicklungsgesellschaft,,6,99
Trettmann,ProAsyl,,6,99
KoolSavas,LGN,,6,99
KoolSavas,VCA,,2,99
KoolSavas,PETA,,1,99
KoolSavas,LandeskriminalamtBW,,1,99
KoolSavas,TelefonicaStiftung,,3,99
KoolSavas,VFC,,4,99
KoolSavas,Sonnenblume,,4,99
KoolSavas,PFI,,1,99
MissPlatnum,LGN,,6,99
MissPlatnum,ProAsyl,,5,99
MissPlatnum,DeutschesKinderhilfswerk,,5,99
MissPlatnum,PPE,,5,99
Smudo,LGN,,6,99
Smudo,TilSchweiger,,5,99
Smudo,PPE,,5,99
Smudo,PETA,,2,99
MatthiasKilling,LGN,,6,99
MatthiasKilling,KinderhospizRegenbogenland,,3,99
MatthiasKilling,UNICEF,,3,99
MatthiasKilling,RHH,,3,99
MatthiasKilling,SOSKinderdorf,,5,99
Sido,IMC,,5,99
Sido,BPB,,3,99
Sido,LGN,,6,99
Sido,UNICEF,,6,99
VisaVie,RBS,,4,99
VisaVie,LGN,,6,99
VisaVie,FWB,,6,99
VisaVie,SOSM,,6,99
VisaVie,VFC,,5,99
VisaVie,UC,,5,99
FrederickLau,LGN,,6,99
FrederickLau,VCA,,6,99
Nura,LGN,,6,99
Nura,Entwicklungsgesellschaft,,6,99
Namika,Herzenssache,,5,99
Namika,WR,,5,99
Namika,Abury ,,99,99
DJChino,LGN,,6,99
DJChino,CSD,,1,99
DJChino,Afrikarise,,2,99
DJChino,SHL,,5,99
DJChino,One,,4,99
DJChino,Bertelsmann,,5,99
DJChino,Klinikclowns,,99,99
DJChino,FT,,5,99
DJChino,Arche,,5,99
DJChino,Kindernothilfe,,2,99
Mateo,LGN,,6,99
Mateo,CSD,,1,99
Mateo,Afrikarise,,2,99
Mateo,One,,4,99
Mateo,Bertelsmann,,5,99
Mateo,Klinikclowns,,99,99
Mateo,SHL,,5,99
Mateo,FT,,5,99
Mateo,Arche,,5,99
Mateo,Kindernothilfe,,2,99
DonCali,LGN,,6,99
DonCali,CSD,,1,99
DonCali,FT,,5,99
DonCali,Afrikarise,,2,99
DonCali,One,,4,99
DonCali,Bertelsmann,,5,99
DonCali,Klinikclowns,,99,99
DonCali,Arche,,5,99
DonCali,SHL,,5,99
DonCali,Kindernothilfe,,2,99
JoshikoSaibou,LGN,,6,99
JoshikoSaibou,SKOA,,6,99
OliverHarris,LGN,,6,99
OliverHarris,DKMS,,6,99
OliverHarris,RTR,,5,99
Elisa,LGN,,6,99
SalwaBenz,LGN,,6,99
AntjeSchomaker,LGN,,6,99
BRKN,Unteilbar,,6,99
BRKN,LGN,,6,99
AlexandraWester,DRK,,5,99
AlexandraWester,LGN,,6,99
JanSosniok,LGN,,6,99
DanJuergen,LGN,,6,99
Olson,AKA,,5,99
Olson,LGN,,6,99
Andhim,LGN,,6,99
Andhim,AAS,,5,99
Andhim,Opferfonds,,5,99
SimonBus,Caritas,,5,99
SimonBus,LGN,,6,99
Fruchtmax,LGN,,6,99
Fruchtmax,Arche,,4,99
ILIRA,LGN,,6,99
Romee,LGN,,6,99
Romee,Lebenshilfe,,4,99
Romee,KJF,,4,99
MalEleve,SOSM,,6,99
MalEleve,KMII,,6,99
MalEleve,Voice,,6,99
MalEleve,MMM,,6,99
MalEleve,SW,,6,99
MalEleve,Unteilbar,,6,99
MalEleve,ProAsyl,,6,99
MalEleve,VCA,,2,99
MalEleve,MSN,,3,99
MalEleve,RFA,,1,99
MalEleve,Respekt,,3,99
MalEleve,DGVN,,4,99
MalEleve,LGN,,6,99
Pohlmann,SS,,5,99
Pohlmann,JG,,6,99
Pohlmann,Myclimate,,4,99
Pohlmann,LGN,,6,99
Pohlmann,UD,,6,99
Pohlmann,DMS,,5,99
Pohlmann,VCA,,3,99
Pohlmann,MBS,,5,99
NewSway,LGN,,5,99
Gleis,LGN,,6,99
LeslieClio,LGN,,6,99
LeslieClio,VCA,,6,99
LeslieClio,TDF,,5,99
LeslieClio,DRK,,6,99
LeslieClio,BZGA,,6,99
LeslieClio,CI,,6,99
LeslieClio,MBS,,5,99
LeslieClio,Vangardist,,6,99
LeslieClio,Ramstein,,5,99
LeslieClio,GP,,6,99
LeslieClio,GV,,99,99
EnnoBunger,SG,,5,99
EnnoBunger,FFK,,6,99
EnnoBunger,DKMS,,5,99
EnnoBunger,Entwicklungsgesellschaft,,5,99
EnnoBunger,AAS,,5,99
EnnoBunger,ProAsyl,,5,99
EnnoBunger,LGN,,5,99
KhebezDawle,LGN,,5,99
KhebezDawle,CMA,,5,99
KhebezDawle,DSF,,5,99
KhebezDawle,PG,,5,99
VanDeForst,HKH,,5,99
VanDeForst,Krebsberatung,,5,99
VanDeForst,LGN,,6,99
RonjaMaltzahn,LGN,,6,99
RonjaMaltzahn,Friedensmusik,,5,99
RonjaMaltzahn,SH,,5,99
RonjaMaltzahn,INBP,,5,99
RonjaMaltzahn,Friedensdorf,,5,99
FourColours,LGN,,6,99
MattenZwei,LGN,,6,99
UweKaa,LGN,,6,99
BandaInternationale,LGN,,6,99
BandaInternationale,TPOTH,,5,99
BandaInternationale,BGH,,5,99
